"No";"Nombre";"Tipo";"Región";"Tipología";"Titular";"Inversión(MMU$)";"FechaPresentaciónFecha deIngreso(*)";"Estado";"url";"id";"url_mapa";"Longitud";"Latitud";"Calificado";"n_documentos";"n_adendas";"n_participacion";"Tipo_proyecto";"Descripcion";"Ano_Ingreso"
12;"Planta de Tratamiento de Riles de la Producción de Pasas";"DIA";"Quinta";"o7";"Sociedad de Inversiones San Lorenzo S.A.";"0,5000";"24/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150834733";"2150834733";"https://seia.sea.gob.cl/mapa/info.php?id=2150834733&name=0";-70,703884;-32,794753;"No Admitido a Tramitación";4;0;0;"Sistemas de tratamiento y/o disposición de residuos industriales líquidos";"El proyecto contempla la habilitación y puesta en marcha de una planta de tratamiento de RILes ya construída, para el procesamiento de 20m3/día de RIL generado por la planta procesadora, los que tratados serán dispuesto en suelo.ObjetivoEl objetivo del proyecto es obtener los permisos para el funcionamiento de una planta de tratamiento de RILes ya construída, que trata efluentes provenientes de la planta de procesos de SOC. INVERSIONES SAN LORENZO S.A.";"2021"
13;"Parque Fotovoltaico El Gozo";"DIA";"Quinta";"c";"Solek Chile Services SpA";"10,0000";"23/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150870369";"2150870369";"https://seia.sea.gob.cl/mapa/info.php?id=2150870369&name=0";-71,19129031;-32,73146913;"En Calificación";17;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto consiste en la instalación y operación de un parque fotovoltaico ubicado en la Región de Valparaíso, específicamente en la comuna de Nogales, perteneciente a la Provincia de QuillotaObjetivoEl Proyecto, tiene por objetivo captar y transformar la energía solar en energía eléctrica para inyectar 9 MW a la red de distribuidora local al SEN";"2021"
14;"Centro de eventos Les Bourgeois";"DIA";"Quinta";"h1";"Rubén Sergio Bourgeois Navia";"0,4000";"23/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150822599";"2150822599";"https://seia.sea.gob.cl/mapa/info.php?id=2150822599&name=0";-71,476195;-32,866771;"En Calificación";12;0;0;"Proyectos inmobiliarios";"Se ha definido como “actividad” y no como “proyecto” debido a que el centro está completamente construido y equipado para su funcionamiento. Esta actividad comercial obtuvo la patente provisoria que permitió su funcionamiento desde el año 2019. Asimismo, dispone de los permisos y resoluciones requeridas que fueron emitidas por las autoridades competentes (ver anexo 4).ObjetivoEl objetivo de esta actividad “Centro de eventos Les Bourgeois” es brindar un espacio a la comunidad en el cual puedan celebrar variados eventos (matrimonios, bautizos, graduaciones, fiestas de empresas, reuniones familiares, etc.) de forma segura, incluyendo en su oferta el servicio de alimentación.";"2021"
15;"Sistema de abastecimiento de agua para riego - Viña VIK";"DIA";"Sexta";"a1";"Viña VIK SpA";"1,0460";"23/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150832615";"2150832615";"https://seia.sea.gob.cl/mapa/info.php?id=2150832615&name=0";-71,22066;-34,54021;"No Admitido a Tramitación";4;0;0;"Presas y embalses";"El proyecto se ubicará en la región del Libertador General Bernardo O’Higgins, provincia de Cachapoal, comuna de San Vicente de Tagua Tagua, específicamente en el camino público H-830, Rincón de Millahue s/n. El Proyecto tiene por objetivo la construcción de un Tranque de acumulación de aguas para utilizarlas en riego agrícola de las instalaciones de la Viña VIK. Adicionalmente, se realizará la regularización de tres Tranques existentes, los cuales cumplen el mismo fin indicado previamente.ObjetivoEl objetivo del presente Proyecto consiste en la construcción de un Tranque de acumulación de aguas para utilizarlas en riego agrícola de las instalaciones de la Viña VIK. Adicionalmente, se realizará la regularización de tres Tranques existentes, los cuales cumplen el mismo fin indicado previamente.";"2021"
16;"Pozo Lastrero Coyanco";"DIA";"Octava";"i5";"ARIDOS CANTARUTA LIMITADA";"1,0000";"22/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150781129";"2150781129";"https://seia.sea.gob.cl/mapa/info.php?id=2150781129&name=0";-72,592682;-37,52459;"En Calificación";11;0;0;"Proyectos de extracción de áridos y greda";"El proyecto consiste en la construcción, operación y cierre de una extracción y procesamiento de áridos, los cuales, en su estado integral, son obtenidos a partir de la explotación del pozo lastrero denominado “Pozo Coyanco”, siendo el material comercializado a terceros.
 

Este proyecto busca satisfacer la demanda de áridos para el desarrollo de la construcción de obras de nuevas carreteras y rutas que mejoren la conectividad y calidad de vida a nivel comunal, provincial y regional por medio de una explotación sostenible del recurso para así ser un aporte al desarrollo sustentable de la región y el país. Objetivo
El Proyecto tiene como objetivo la extracción y procesamiento de material para su venta como áridos a terceros, realizando su operación en conformidad con los actuales requisitos ambientales y sectoriales que la normativa y legislación nacional exige.";"2021"
17;"Parque Fotovoltaico Saint George del Verano";"DIA";"Quinta";"c";"Saint George SpA";"10,2125";"22/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150816715";"2150816715";"https://seia.sea.gob.cl/mapa/info.php?id=2150816715&name=0";-71,425334;-33,30895;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El proyecto “Parque Fotovoltaico Saint George del Verano” (en adelante “el proyecto”), que se somete al Sistema de Evaluación de Impacto Ambiental mediante esta Declaración de Impacto Ambiental, se ubica en la Región de Valparaíso, Provincia de Valparaíso, Comuna de Casablanca, específicamente en los inmuebles denominados: “Lote 3-A3, proveniente de la subdivisión de la Hijuela 3-A, que es parte de la subdivisión del Resto de la Hijuela 3 o Hijuela Oriente, del Fundo Santa Rosa ” y, “Hijuela UNO B-DOS, producto de la subdivisión de la fusión de las hijuelas unoA y unoB, ubicada en el Fundo Santa Rosa”. El proyecto, considera ocupar, entre obras permanentes y temporales, una superficie total de 20,11 hectáreas. Objetivo

El Proyecto tiene por objetivo proporcionar energía eléctrica limpia a través de Energías Renovables No Convencionales (ERNC) al Sistema Eléctrico Nacional (SEN), por medio de un parque fotovoltaico de 9 MWac de potencia nominal.";"2021"
18;"Parque Solar San José";"DIA";"Décimosexta";"c";"Impulso Solar San José SpA";"3,0000";"22/02/2021";"No Admitido a Tramitación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150820261";"2150820261";"https://seia.sea.gob.cl/mapa/info.php?id=2150820261&name=0";-71,983224;-36,489838;"No Admitido a Tramitación";4;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Parque Solar San José consiste en la ampliación de una Central Solar Fotovoltaica, con una potencia instalada de 3,49 MW. El parque solar considera la instalación de 7.840 paneles solares adicionales a los ya construidos por el proyecto Central Fotovoltaica San José [3 MW], alcanzando una cantidad total de 14.560 paneles solares de 445 Wp de potencia cada uno. De esta forma, el Proyecto alcanzará una potencia instalada de hasta 6,49 MWp. El parque será conectado a una línea de media tensión de 13,2 kV, a través del alimentador Ninquihue perteneciente a la compañía distribuidora Copelec.ObjetivoEl proyecto Parque Solar San José tiene por objeto satisfacer la creciente demanda energética, utilizando energías renovables no convencionales (ERNC), aprovechando el potencial solar de la Región de Ñuble. El Proyecto contempla la ampliación de la Central Fotovoltaica San José [3 MW], mediante la construcción, operación y cierre de un Parque Solar Fotovoltaico, de potencia nominal igual a 2,99 MW (y un peak de 3,49 MWp), con la finalidad de generar energía eléctrica. Esta potencia se alcanzará mediante la instalación de 7.840 módulos fotovoltaicos.";"2021"
19;"Parque Fotovoltaico Cauce Solar";"DIA";"Segunda";"c";"CAUCE SOLAR SpA";"12,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150864650";"2150864650";"https://seia.sea.gob.cl/mapa/info.php?id=2150864650&name=0";-68,825033;-21,462904;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto se emplaza en sector rural de la comuna de Calama, Región de Antofagasta y corresponde a un proyecto de pequeños medios de generación distribuida a través de energías renovables no convencionales, que generará energía limpia. El Parque Fotovoltaico, está conformada por bloques o conjuntos de paneles solares los que suman un total de 9 MW AC. La energía de los bloques, es enviada mediante una línea aérea de media tensión (23 KV), hasta el punto de interconexión ubicado aproximadamente a 5,1 Km, donde se entregará la energía al Sistema Eléctrico Nacional.Objetivo El Proyecto tiene por objetivo proporcionar energía eléctrica a través de energías renovables no convencionales (ERNC), por medio de central fotovoltaica de 9 MW AC. La energía será inyectada al SEN.";"2021"
20;"Aumento de Capacidad PTAS Chimbarongo";"DIA";"Sexta";"o4";"ESSBIO S.A.";"378,8723";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150730566";"2150730566";"https://seia.sea.gob.cl/mapa/info.php?id=2150730566&name=0";-71,063601;-34,72469;"En Calificación";15;0;0;"Plantas de tratamiento de aguas de origen domiciliario que atiendan a una población igual o mayor a 2.500 habitantes";"El proyecto se somete al Sistema de Evaluación Ambiental, mediante una Declaración de Impacto Ambiental, que se enmarca en la modalidad de una modificación de proyecto. Teniendo en cuenta lo anterior, el proyecto, modifica uno existente que cuenta con resolución de calificación ambiental favorable N°154/2015. La modificación considerada tiene relación con el aumento de la capacidad de tratamiento de la actual PTAS mediante obras que permitan su operación y cumplimiento normativo proyectado al año 2034.ObjetivoEl objetivo del proyecto consiste en ampliar la capacidad de tratamiento de aguas servidas de la actual PTAS a través de la incorporación de una nueva línea de tratamiento biológico con un tercer reactor en paralelo a los existentes, además de otras obras que permitirán satisfacer la demanda del servicio de tratamiento de aguas servidas de la población de la ciudad de Chimbarongo al año 2034.
Cabe mencionar, que la ampliación de la PTAS se llevará a cabo en dos subfases, la primera a ejecutarse durante el año 2021 (o una vez obtenida la RCA favorable) y la segunda durante el 2030. Se debe dejar claro que mientras se construye la ampliación de la PTAS, la población seguirá siendo servida normalmente y sin interrupciones.";"2021"
21;"Parque Fotovoltaico Rengo Solar";"DIA";"Sexta";"c";"Rengo Solar SpA";"10,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150820641";"2150820641";"https://seia.sea.gob.cl/mapa/info.php?id=2150820641&name=0";-70,859788;-34,420757;"En Calificación";16;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto estará conformado por 28.392 paneles fotovoltaicos bifaciales. Los módulos irán conectados a 2 centros de transformación y 56 inversores. El parque solar fotovoltaico tendrá 9 MW de potencia inyectada y de 14,196 MW de potencia instalada. Contará con una línea de media tensión soterrada al interior del proyecto y aérea en el punto de conexión, donde se inyectará la energía en el Sistema Eléctrico Nacional (SEN). Dicha línea aérea tendrá una extensión de 400 m, y transcurre por la comuna de Rengo.ObjetivoEl objetivo del Proyecto es producir e inyectar al SEN aproximadamente 25 GWh anuales de energía renovable no convencional (ERNC), mediante el aprovechamiento de la energía solar por medio de 28.392 paneles solares, con una capacidad total instalada de hasta 14,196 MW. Con ello se pretende potenciar el aprovechamiento de recursos naturales de la zona para la producción de energía limpia, a partir de una fuente renovable e inagotable.

Lo anterior, considerando la creciente demanda que existe respecto de este insumo para la economía y en línea con Energía 2050: Política Energética de Chile.";"2021"
22;"AMPLIACION PLANTA SAN JOSE";"DIA";"Décima";"n6";"Salmones Camanchaca S.A.";"1,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150864739";"2150864739";"https://seia.sea.gob.cl/mapa/info.php?id=2150864739&name=0";-73,191714;-41,784529;"En Calificación";12;0;0;"Plantas Procesadoras de recursos hidrobiológicos";"El proyecto considera incrementar la producción de la Planta San José, al aumentar el volumen de recepción de materia prima desde el acopio, a 120.000 ton/año de producto vivo (LW), y la recepción de 12.000 ton/año de producto eviscerado (HON) desde proveedores externos, sin modificar la capacidad instalada de proceso en Planta San José. Se prevé una producción anual de 111.229 toneladas (90.614 ton/año salmón HON + 20.615 ton/año salmón HG).ObjetivoAumento del volumen de recepción a 120.000 ton/año de producto vivo a proceso (LW) y 12.000 ton/año de producto eviscerado (HON).";"2021"
23;"Porota Solar";"DIA";"Quinta";"c";"Porota Solar SpA";"6,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2149846051";"2149846051";"https://seia.sea.gob.cl/mapa/info.php?id=2149846051&name=0";-71,36445651;-32,91263782;"En Calificación";20;0;0;"Centrales generadoras de energía mayores a 3 MW";"El Proyecto corresponde a una planta fotovoltaica ubicada en el Camino Quillota-Colmo S/N, Parcela La Greda, Sector Manzanar, comuna de Quillota, Región de Valparaíso, a 13 km al oeste de la zona urbana de Quillota. Se ejecutará en una superficie de 11,63 ha, accediendo desde la Ruta F-360. Generará 6 MW de energía que será transmitida por una línea eléctrica aérea de 12,5 KV existente, conectándose al SEN, por medio de un alimentador existente de Media Tensión (12,5 kV). Vida útil: 30 años.ObjetivoEl objetivo del Proyecto consiste en convertir la energía proveniente del sol en energía eléctrica, utilizando para tal efecto 11.286 paneles fotovoltaicos. Se generarán hasta 6 MW AC de energía limpia, la que será transmitida por medio de una línea eléctrica aérea de 12,5 KV (ya existente), conectándose al Sistema Eléctrico Nacional (SEN), por medio de un alimentador existente de Media Tensión (12,5 kV), denominado Tabolango, de propiedad de Chilquinta Energía S.A.";"2021"
24;"Seccionamiento Línea 2x220 kV El Cobre ? Esperanza y Adecuaciones en S/E Centinela";"DIA";"Segunda";"b1";"Red Eléctrica del Norte 2 S.A";"13,0000";"19/02/2021";"En Calificación";"https://seia.sea.gob.cl/expediente/expediente.php?id_expediente=2150864181";"2150864181";"https://seia.sea.gob.cl/mapa/info.php?id=2150864181&name=0";-69,13042;-22,953496;"En Calificación";17;0;0;"Líneas de transmisión eléctrica de alto voltaje";"El proyecto consiste en el seccionamiento de la línea 2x220 kV El Cobre - Esperanza, por medio de la construcción de una línea de transmisión de aproximadamente 2,3 km y adecuaciones en la S/E Centinela, actualmente en construcción, para lo cual se considera la implementación de equipamiento en el patio de 220 kV que permita la conexión del seccionamiento de la línea 2x220 El Cobre – Esperanza y de proyectos futuros. Objetivo El objetivo general del Proyecto es la construcción y operación del seccionamiento de la línea 2x220 kV El Cobre – Esperanza y las adecuaciones en la S/E Centinela para permitir la conexión de la línea antes mencionada y de nuevos proyectos de la zona al Sistema Eléctrico Nacional, SEN, en cumplimiento a lo establecido en el Decreto Exento N° 198/2019 del Ministerio de Energía, que fija obras de ampliación de los sistemas de transmisión nacional y zonal.";"2021"
